image_source_url,image_style_url,image_A_url,image_B_url
image_pairs_set1_source.jpg,image_pairs_set1_target.jpg,ours_set1.png,DST_set1.png
image_pairs_set1_source.jpg,image_pairs_set1_target.jpg,SAE_set1.png,ours_set1.png
image_pairs_set1_source.jpg,image_pairs_set1_target.jpg,STROTSS_set1.jpg,ours_set1.png
image_pairs_set1_source.jpg,image_pairs_set1_target.jpg,ours_set1.png,WCT2_set1.jpg
image_pairs_set1_source.jpg,image_pairs_set1_target.jpg,ours_set1.png,WST_set1.png
image_pairs_set1_source.jpg,image_pairs_set1_target.jpg,ours_set1.png,stargan2_set1.png
image_pairs_set10_source.jpg,image_pairs_set10_target.jpg,DST_set10.png,ours_set10.png
image_pairs_set10_source.jpg,image_pairs_set10_target.jpg,STROTSS_set10.jpg,ours_set10.png
image_pairs_set10_source.jpg,image_pairs_set10_target.jpg,ours_set10.png,WCT2_set10.jpg
image_pairs_set10_source.jpg,image_pairs_set10_target.jpg,ours_set10.png,WST_set10.png
image_pairs_set11_source.jpg,image_pairs_set11_target.jpg,DST_set11.png,ours_set11.png
image_pairs_set11_source.jpg,image_pairs_set11_target.jpg,ours_set11.png,STROTSS_set11.jpg
image_pairs_set11_source.jpg,image_pairs_set11_target.jpg,ours_set11.png,WCT2_set11.jpg
image_pairs_set11_source.jpg,image_pairs_set11_target.jpg,ours_set11.png,WST_set11.png
image_pairs_set12_source.jpg,image_pairs_set12_target.jpg,ours_set12.png,DST_set12.png
image_pairs_set12_source.jpg,image_pairs_set12_target.jpg,ours_set12.png,STROTSS_set12.jpg
image_pairs_set12_source.jpg,image_pairs_set12_target.jpg,WCT2_set12.jpg,ours_set12.png
image_pairs_set2_source.jpg,image_pairs_set2_target.jpg,ours_set2.png,DST_set2.png
image_pairs_set2_source.jpg,image_pairs_set2_target.jpg,ours_set2.png,SAE_set2.png
image_pairs_set2_source.jpg,image_pairs_set2_target.jpg,ours_set2.png,STROTSS_set2.jpg
image_pairs_set2_source.jpg,image_pairs_set2_target.jpg,ours_set2.png,WCT2_set2.jpg
image_pairs_set2_source.jpg,image_pairs_set2_target.jpg,ours_set2.png,WST_set2.png
image_pairs_set2_source.jpg,image_pairs_set2_target.jpg,stargan2_set2.png,ours_set2.png
image_pairs_set3_source.jpg,image_pairs_set3_target.jpg,ours_set3.png,DST_set3.png
image_pairs_set3_source.jpg,image_pairs_set3_target.jpg,ours_set3.png,SAE_set3.png
image_pairs_set3_source.jpg,image_pairs_set3_target.jpg,ours_set3.png,STROTSS_set3.jpg
image_pairs_set3_source.jpg,image_pairs_set3_target.jpg,ours_set3.png,WCT2_set3.jpg
image_pairs_set3_source.jpg,image_pairs_set3_target.jpg,WST_set3.png,ours_set3.png
image_pairs_set3_source.jpg,image_pairs_set3_target.jpg,ours_set3.png,stargan2_set3.png
image_pairs_set4_source.jpg,image_pairs_set4_target.jpg,DST_set4.png,ours_set4.png
image_pairs_set4_source.jpg,image_pairs_set4_target.jpg,WCT2_set4.jpg,ours_set4.png
image_pairs_set4_source.jpg,image_pairs_set4_target.jpg,WST_set4.png,ours_set4.png
image_pairs_set5_source.jpg,image_pairs_set5_target.jpg,ours_set5.png,DST_set5.png
image_pairs_set5_source.jpg,image_pairs_set5_target.jpg,WCT2_set5.jpg,ours_set5.png
image_pairs_set5_source.jpg,image_pairs_set5_target.jpg,WST_set5.png,ours_set5.png
image_pairs_set6_source.jpg,image_pairs_set6_target.jpg,DST_set6.png,ours_set6.png
image_pairs_set6_source.jpg,image_pairs_set6_target.jpg,ours_set6.png,WCT2_set6.jpg
image_pairs_set6_source.jpg,image_pairs_set6_target.jpg,WST_set6.png,ours_set6.png
image_pairs_set7_source.jpg,image_pairs_set7_target.jpg,DST_set7.png,ours_set7.png
image_pairs_set7_source.jpg,image_pairs_set7_target.jpg,SAE_set7.png,ours_set7.png
image_pairs_set7_source.jpg,image_pairs_set7_target.jpg,ours_set7.png,STROTSS_set7.jpg
image_pairs_set7_source.jpg,image_pairs_set7_target.jpg,ours_set7.png,WCT2_set7.jpg
image_pairs_set7_source.jpg,image_pairs_set7_target.jpg,ours_set7.png,WST_set7.png
image_pairs_set7_source.jpg,image_pairs_set7_target.jpg,stargan2_set7.png,ours_set7.png
image_pairs_set8_source.jpg,image_pairs_set8_target.jpg,DST_set8.png,ours_set8.png
image_pairs_set8_source.jpg,image_pairs_set8_target.jpg,ours_set8.png,SAE_set8.png
image_pairs_set8_source.jpg,image_pairs_set8_target.jpg,ours_set8.png,STROTSS_set8.jpg
image_pairs_set8_source.jpg,image_pairs_set8_target.jpg,ours_set8.png,WCT2_set8.jpg
image_pairs_set8_source.jpg,image_pairs_set8_target.jpg,ours_set8.png,WST_set8.png
image_pairs_set8_source.jpg,image_pairs_set8_target.jpg,stargan2_set8.png,ours_set8.png
image_pairs_set9_source.jpg,image_pairs_set9_target.jpg,DST_set9.png,ours_set9.png
image_pairs_set9_source.jpg,image_pairs_set9_target.jpg,ours_set9.png,SAE_set9.png
image_pairs_set9_source.jpg,image_pairs_set9_target.jpg,STROTSS_set9.jpg,ours_set9.png
image_pairs_set9_source.jpg,image_pairs_set9_target.jpg,ours_set9.png,WCT2_set9.jpg
image_pairs_set9_source.jpg,image_pairs_set9_target.jpg,WST_set9.png,ours_set9.png
image_pairs_set9_source.jpg,image_pairs_set9_target.jpg,ours_set9.png,stargan2_set9.png
